Title,,GMD,,,,Publisher,,,Type of book,Call #,?,Publishing city,Call #,?,?,?,Author,Category,Item
Pesta Syukuran,uran,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Bruce Talkington>,<Cerita Anak>,<T701794>
Pesta Ulang Tahun Franklin,klin,Text,,,,Kanisius,2001,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T702118>
Pesta Ulang Tahun Franklin - c2,#VALUE!,Text,,,,Kanisius,,,Franklin,823,,Yogyakarta,823,,,,<Paulette Bourgeois>,<Cerita Anak>,<T703089>
Petai & Jengkol,gkol,Text,,,,DeMedia Pustaka,2008,,Variasi Masakan,641.7,,Jakarta,641.7,,,,<Tim Dapur DeMedia>,<Masak-makanan>,<T700657>
Peter Pan, Pan,Text,,,,Binarupa Aksara,,,Buku Cerita Dengan Gambar Tempel,823,,,823,,,,<Esther S. Mandjani>,<Cerita Anak>,<T700104>
Peter Pan, Pan,Text,,,,Pelangi Sdn. Bhd.,,,Pelangi's Little Book Series,823,,Malaysia,823,,,,<Nuora Edibimbi>,<Cerita Anak>,<T701950>
Peter Pan, Pan,Text,,,,Gramedia Pustaka Utama,2010,,Disney (The Magical Story),823,,Jakarta,823,,,,<Dini Pandia >,<Cerita Anak>,<T704422>
Petir yang Berkilau,ilau,Text,,,,Elex Media Komputindo,1999,,seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Isabel Gaines>,<Cerita Anak>,<T701807>
Petir yang Berkilau - c2,#VALUE!,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Isabel Gaines>,<Cerita Anak>,<T701808>
Petualangan Alice di Negeri Ajaib,jaib,Text,,,,Bhuana Ilmu Populer,2010,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704676>
Petualangan di Bawah Laut,Laut,Text,,,,Pustaka Utama Grafiti,1992,,Seri Klasik Dunia,823,,Jakarta,823,,,,<Jules Verne>,<Cerita Anak>,<T702023>
Petualangan di Hutan Taman,aman,Text,,,,Gramedia Pustaka Utama,2008,,Disney Winnie The Pooh Mewarnai,153.5,,Jakarta,153.5,,,,<Tim Elex>,<Aktivitas Anak>,<T700476>
Petualangan Huckleberry Finn,Finn,Text,,,,Pustaka Utama Grafiti,1992,,Seri Klasik Dunia,823,,Jakarta,823,,,,<Mark Twain>,<Cerita Anak>,<T702024>
Petualangan Keliling Dunia Dora,Dora,Text,,,,Citra Sastra Media,2008,,Dora the Explorer,823,,Jakarta,823,,,,<Suzanne D Nimm >,<Cerita Anak>,<T704261>
Petualangan Kera Sakti,akti,Text,,,,Bhuana Ilmu Populer,2009,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704166>
Petualangan Pertama ( The First Adventure ),re ),Text,,,,Erlanggan Four Kids,2011,,Tentang Sahabat,,,Jakarta,,,,,<Jason Chapman >,<Cerita Anak>,<T704999>
Petualangan Pinokio,okio,Text,,,,Bhuana Ilmu Populer,2010,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704161>
Petualangan Sebuah Piknik,knik,Text,,,,Dian Rakyat,1991,,Garfield,823,,Jakarta,823,,,,<Jack C Harris>,<Cerita Anak>,<T702913>
Petualangan Si Belang,lang,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702129>
Petualangan si Belang,lang,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo >,<Cerita Anak>,<T703467>
Petualangan Si Belang - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702130>
Petualangan Si Cecurut,urut,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702133>
Petualangan si Cecurut,urut,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo >,<Cerita Anak>,<T703465>
Petualangan SI Cecurut - c2,#VALUE!,Text,,,,Bestari Kids,2008,,Seri Hewan Petualang,813,,Jakarta,813,,,,<Bambang Joko Susilo>,<Cerita Anak>,<T702134>
Petualangan Sinbad,nbad,Text,,,,Elex Media Komputindo,1991,,Buku Dongeng Anak-Anak Bergambar,892.7,,Jakarta,892.7,,,,<Shogo Hirata>,<Cerita Anak>,<T701826>
Petualangan Tom Sawyer,wyer,Text,,,,Elex Media Komputindo,2010,,Classic Tales,823,,Jakarta,823,,,,<Mark Twain >,<Novel / Fiksi>,<T704484>
Petualangan yang Hebat,ebat,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Bruce Talkington>,<Cerita Anak>,<T701787>
Petunjuk Masak Modern Femina 18,a 18,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703938>
Petunjuk Masak Modern Femina 18 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703939>
Petunjuk Masak Modern Femina 20,a 20,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703924>
Petunjuk Masak Modern Femina 20 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703925>
Petunjuk Masak Modern Femina 21,a 21,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703932>
Petunjuk Masak Modern Femina 21 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703933>
Petunjuk Masak Modern Femina 6,na 6,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703922>
Petunjuk Masak Modern Femina 6 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703923>
Petunjuk Mengadakan Pesta Femina 31,a 31,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703934>
Petunjuk Mengadakan Pesta Femina 31 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703935>
Petunjuk Mengadakan Pesta Femina 34,a 34,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703928>
Petunjuk Mengadakan Pesta Femina 34 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703929>
Petunjuk Mengadakan Pesta Femina 35,a 35,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703926>
Petunjuk Mengadakan Pesta Femina 35 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703927>
Petunjuk Mengadakan Pesta Femina 36,a 36,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703930>
Petunjuk Mengadakan Pesta Femina 36 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703931>
Petunjuk Mengadakan Pesta Femina 47,a 47,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703936>
Petunjuk Mengadakan Pesta Femina 47 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703937>
Petunjuk Mengadakan Pesta Femina 49,a 49,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703940>
Petunjuk Mengadakan Pesta Femina 49 - c2,#VALUE!,Text,,,,Gaya Favorit Press,1994,,Mahir Memasak,641.5,,Jakarta,641.5,,,,<Tim Penulis >,<Masak-makanan>,<T703941>
Pi-Shu Panda Cilik,ilik,Text,,,,Elex Media Komputindo,2002,,Selamatkan Kami,599,,Jakarta,599,,,,<John Butler>,<Cerita Anak>,<T702062>
Picasso - c2,#VALUE!,Text,,,,Quality Press,,,Seri Anak-anak Terkenal Dunia,927,,Jakarta,927,,,,<Tony Hart><Susan Hellard>,<Pengetahuan Anak>,<T701681>
Picossa,ossa,Text,,,,Quality Press,,,Seri Anak-anak Terkenal Dunia,927,,,927,,,,<Tony Hart><Susan Hellard>,<Pengetahuan Anak>,<T700218>
Piercing the Darkness,ness,Text,,,,Cipta Olah Pustaka,2001,,Novel Rohani,823,,Bandung,823,,,,<Frank E Peretti>,<Buku Rohani>,<T703859>
Piglet Memanjat Pohon,ohon,Text,,,,Elex Media Komputindo,-,,Seri Menjelajah Bersama Pooh,813,,Jakarta,813,,,,<Tyas>,<Cerita Anak>,<T700035>
Piglet Terbang,bang,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<A. A Milne>,<Cerita Anak>,<T701779>
Pikiran adalah Medan Perang,rang,Text,,,,Immanuel Publishing House,2007,,Buku Rohani,238,,Jakarta,238,,,,<Joyce Meyer>,<Buku Rohani>,<T701554>
Pikiran adalah Medan Perang - c2,#VALUE!,Text,,,,Immanuel,2001,,Buku Rohani,241,,Jakarta,241,,,,<Joyce Meyer>,<Buku Rohani>,<T703853>
Piknik Seru,Seru,Text,,,,Little Serambi,2009,,Lala Si Koki Cilik,813,,Jakarta,813,,,,<Anita Hairunnisa>,<Cerita Anak>,<T702656>
Pilihanku,anku,Text,,,,Yayasan Komunikasi Bina Kasih,1997,,Alkitab Bergambar untuk Semua Umur,222,,Jakarta,222,,,,<H A Oppusunggu >,<Buku Rohani>,<T703896>
Pilihanku - c2,#VALUE!,Text,,,,Yayasan Komunikasi Bina Kasih,1997,,Alkitab Bergambar untuk Semua Umur,222,,Jakarta,222,,,,<H A Oppusunggu >,<Buku Rohani>,<T703897>
Pilot,ilot,Text,,,,PT. Tiga Serangkai Pustaka Mandiri,2013,,Seri Mengenal Profesi,,,Solo,,,,,<Rae Sita Patappa>,<Pengetahuan Anak>,<T704924>
Pinbi dan keluarganya di Antartika,tika,Text,,,,Gramedia Pustaka Utama,2008,,Animal's Adventure,599,,Jakarta,599,,,,<Josephine Sjahir>,<Cerita Anak>,<T702101>
Pinky dan Pindy,indy,Text,,,,Elex Media Komputindo,1994,,Buku Dongeng Anak-Anak Bergambar,895.6,,Jakarta,895.6,,,,<Shogo Hirata>,<Cerita Anak>,<T701846>
Pinocchio,chio,Text,,,,Pelangi Sdn. Bhd.,,,Pelangi's Little Book Series,823,,Malaysia,823,,,,<Nuora Edibimbi>,<Cerita Anak>,<T701943>
Pinocchio,chio,Text,,,,Gramedia Pustaka Utama,2006,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Tim Penulis>,<Cerita Anak>,<T702743>
Pinocchio,chio,Text,,,,Gramedia Pustaka Utama,2010,,Disney (The Magical Story),823,,Jakarta,823,,,,<Dini Pandia >,<Cerita Anak>,<T704418>
Pinocchio and the Whale,hale,Text,,,,Gramedia Pustaka Utama,2005,,Seri Pustaka Awal,823,,Jakarta,823,,,,<Gina Ingoglia>,<Cerita Anak>,<T702942>
Pinokio,okio,Text,,,,Gramedia Pustaka Utama,,,Seri Pustaka Kecil,823,,,823,,,,<Campbell Grant>,<Cerita Anak>,<T700063>
Pinokio,okio,Text,,,,Gramedia Pustaka Utama,2006,,Seri Pustaka Kecil,823,,Jakarta,823,,,,<Campbell Grant>,<Cerita Anak>,<T702936>
Pintar Berhitung usia 4-6 tahun,ahun,Text,,,,Media Kita,2009,,Cepat & Mudah,372.7,,Jakarta,372.7,,,,<Juliagar R N>,<Aktivitas Anak>,<T702559>
"Pintar IPA SD Kls 4, 5 & 6 ",& 6 ,Text,,,,C Media,2010,,Buku Saku,372.3,,Jakarta,372.3,,,,<Dewi Rossalia>,<Buku Pelajaran>,<T703287>
Pintar Memakai Alat Bantu Ajar,Ajar,Text,,,,Esensi,2009,,Untuk Guru Kelompok Usia Dini,153.3,,Jakarta,153.3,,,,<Helyantini Soetopo >,<Aktivitas - Umum>,<T703569>
Pintar Mengerjakan PR Matematika SD Kelas 4,as 4,Text,,,,Wahyu Media,2009,,Matematika,510,,Jakarta,510,,,,<Ajen Dianawati>,<Buku Pelajaran>,<T702214>
Pintar Menulis dan membaca Huruf Kecil,ecil,Text,,,,Elex Media Komputindo,2009,,Seri Pintar Menulis dan Membaca,372.4,,Jakarta,372.4,,,,<Herry Prasetyo>,<Aktivitas Anak>,<T702561>
Pintar Psikotes Untuk Anak 3-6 Tahun,ahun,Text,,,,WahyuMedia,2007,,Umum - Anak,155.2,,Jakarta,155.2,,,,<Anggita Prastiwi>,<Umum>,<T700643>
Pintar Psikotes untuk Anak 3-6 tahun,ahun,Text,,,,Wahyu Media,2009,,Aktivitas Anak,153.9,,Jakarta,153.9,,,,<Anggita Prastiwi>,<Aktivitas - Umum>,<T702558>
Pippi Hendak Berlayar,ayar,Text,,,,Gramedia Pustaka Utama,2005,,Novel,823,,Jakarta,823,,,,<Astrid Lindgren>,<Novel / Fiksi>,<T703178>
Pippi Si Kaos Panjang,jang,Text,,,,Gramedia Pustaka Utama,2005,,Novel,823,,Jakarta,823,,,,<Astrid Lindgren>,<Novel / Fiksi>,<T703177>
"Pisces, Reptilia, Amfibi ",ibi ,Text,,,,Tiga Serangkai,2007,,Atlas Binatang,591,,Solo,591,,,,<Tim Penulis >,<Pengetahuan Dewasa>,<T703753>
Pizza & Burger Spesial,sial,Text,,,,Gramedia Pustaka Utama,2007,,Seri Quick Cooking,641.8,,Jakarta,641.8,,,,<Albertin Hoesni >,<Masak-kue>,<T703957>
Planet,anet,Text,,,,Elex Media Komputindo,2002,,Menjelajah Ruang Angkasa,523.4,,Jakarta,523.4,,,,<Cynthia Pratt Nicolson>,<Pengetahuan Anak>,<T700039>
Planet Bumi,Bumi,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,523.4,,Bandung,523.4,,,,<Tim XACT>,<Pengetahuan Anak>,<T703101>
Planet Bumi,Bumi,Text,,,,Widyadara,1979,,Pustaka Pengetahuan Modern,525,,Jakarta,525,,,,<Christopher Maynard>,<Pengetahuan Dewasa>,<T703401>
Planet Bumi,Bumi,Text,,,,Yudhistira,2007,,Serial Ilmu Pengetahuan Populer,525,,Bogor,525,,,,<Sema Gul >,<Pengetahuan Anak>,<T703485>
Planet Bumi,Bumi,Text,,,,Sygma Publishing,2009,,My 1st Questions & Answers,523.4,,Bandung,523.4,,,,<Tim XACT >,<Pengetahuan Anak>,<T703657>
Planet yang Tercemar,emar,Text,,,,Sygma Publishing,2008,,Examedia,523.4,,Jakarta,523.4,,,,<Jen Green >,<Pengetahuan Anak>,<T703459>
Plants (Aneka Rupa Tumbuhan),han),Text,,,,Sygma Publishing,2008,,My First Big Book,580,,Bandung,580,,,,<Rani Yulianty >,<Pengetahuan Anak>,<T703764>
Plants (Tanaman),man),Text,,,,Elex Media Komputindo,2009,,Why?,581,,Jakarta,581,,,,<Tim Penulis >,<Pengetahuan Anak>,<T703761>
Plato,lato,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Pang Kim Xiong>,<Pengetahuan Anak>,<T702834>
Plato Pemikir Etika dan Metafisika,sika,Text,,,,Elex Media Komputindo,2007,,Seri Tokoh Dunia,923,,Jakarta,923,,,,<Pang Kim Xiong>,<Pengetahuan Anak>,<T700386>
Play & Learn,earn,Text,,,,Elex Media Komputindo,2003,,Buku Aktivitas,796.1,,Jakarta,796.1,,,,<Trish Kuffner >,<Aktivitas - Umum>,<T704574>
PLH SD Kelas I,as I,Text,,,,Erlangga,,,Buku Pelajaran,370.11,,Jakarta,370.11,,,,<Tim Guru Cinta Lingkungan>,<Buku Pelajaran>,<T702634>
PLH SD Kelas II,s II,Text,,,,Erlangga,,,Buku Pelajaran,370.11,,Jakarta,370.11,,,,<Tim Guru Cinta Lingkungan>,<Buku Pelajaran>,<T702635>
PLH SD Kelas IV,s IV,Text,,,,Erlangga,,,Buku Pelajaran,370.11,,Jakarta,370.11,,,,<Tim Guru Cinta Lingkungan>,<Buku Pelajaran>,<T702636>
PLH SD Kelas V,as V,Text,,,,Erlangga,,,Buku Pelajaran,370.11,,Jakarta,370.11,,,,<Tim Guru Cinta Lingkungan>,<Buku Pelajaran>,<T702637>
PLH SD Kelas VI,s VI,Text,,,,Erlangga,,,Buku Pelajaran,370.11,,Jakarta,370.11,,,,<Tim Guru Cinta Lingkungan>,<Buku Pelajaran>,<T702638>
Pocahontas,ntas,Text,,,,Formatara Prima Sejati,1995,,Disney's Bilingual Version,823,,Jakarta,823,,,,<Tim Penulis                 >,<Cerita Anak>,<T702027>
Pohon,ohon,Text,,,,Elex Media Kumputindo,2008,,"Bamboo, Valvet & Beak",581,,Jakarta,581,,,,<Felicia Law>,<Cerita Anak>,<T701451>
Pohon,ohon,Text,,,,Elex Media Komputindo,2008,,"Bamboo, Velvet & Beak",581,,Jakarta,581,,,,<Felicia Law>,<Cerita Anak>,<T702750>
Pohon Cemara,mara,Text,,,,Quality Press,,,Seri Tarantula,823,,,823,,,,<Judy Hamilton>,<Cerita Anak>,<T700327>
Pohon Harapan - c1,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,Bagai Bumi Berhenti Berputar,813,,Jakarta,813,,,,<Clara Ng >,<Pengetahuan Anak>,<T703684>
Pohon Harapan - c2,#VALUE!,Text,,,,"PT. Gramedia Pustaka Utama, Jakarta",2008,,Bagai Bumi Berhenti Berputar,,,Jakarta,,,,,<Clara Ng>,<Pengetahuan Anak>,<T704827>
pohon Impian,pian,Text,,,,Allice Saputra Communications,,,Seri Serendipity,823,,,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T700128>
Pohon Keluarga,arga,Text,,,,Gramedia Pustaka Utama,-,,Seri Menjelajah Bersama Pooh,813,,Jakarta,813,,,,<Indriaswati>,<Cerita Anak>,<T700427>
Pohon Keluarga,arga,Text,,,,Bhuana Ilmu Populer,2010,,Numbers of Life,640,,Jakarta,640,,,,<Nuria Roca >,<Pengetahuan Anak>,<T703565>
Pohon Madu,Madu,Text,,,,Elex Media Komputindo,,,Seri Menjelajah Bersama Pooh,823,,,823,,,,<Tyas>,<Cerita Anak>,<T700360>
Pohon Natal Yang Sangat Istemewa,mewa,Text,,,,Allice Saputra Communications,,,The Christmas Teddy Bear,823,,,823,,,,<Stephanie Ryder>,<Cerita Anak>,<T700148>
Poirot Investigates ( Poirot Melacak ),ak ),Text,,,,Gramedia Pustaka Utama,2007,,Novel,823,,Jakarta,823,,,,<Agatha Christie>,<Novel / Fiksi>,<T701069>
Poirot Investigates ( Poirot Melacak ) - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2007,,Novel,823,,Jakarta,823,,,,<Agatha Christie>,<Novel / Fiksi>,<T701070>
Pokok-pokok Fisika SMP unt Kls VII, VII,Text,,,,Erlangga,2007,,Buku Pelajaran,371.32,,Jakarta,371.32,,,,<Widagdo Mangunwiyoto>< Harjono >,<Buku Pelajaran>,<T703320>
Politik Agamawi,mawi,Text,,,,Metanoia,1999,,Buku Rohani,241,,Jakarta,241,,,,<Roberts Liardon >,<Buku Rohani>,<T703907>
Polly Belajar Mandiri,diri,Text,,,,Bestari Kids,2009,,Seri Fabel Mancanegara,398.5,,Jakarta,398.5,,,,<Koko Nata>< Kiki Moch Rizki >,<Cerita Anak>,<T703424>
Polly Belajar Mandiri,diri,Text,,,,Bestari Kids,2009,,Seri Fabel Mancanegara,813,,Jakarta,813,,,,<Koko Nata>< Kiki Moch Rizki >,<Cerita Anak>,<T703585>
Pollyanna,anna,Text,,,,Bhuana Ilmu Populer,2010,,Dongeng Animasi,823,,Jakarta,823,,,,<Tim Penulis >,<Cerita Anak>,<T704669>
Polusi,lusi,Text,,,,Tiga Serangkai,2009,,Selamatkan Bumi Kita,363.7,,Solo,363.7,,,,<Sally Morgan >,<Pengetahuan Anak>,<T703493>
Pooh dan Angin Kencang,cang,Text,,,,Elex Media Komputindo,1997,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<James Simons>,<Cerita Anak>,<T701797>
Pooh dan Naga Terbang,bang,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Ann Braybrooks>,<Cerita Anak>,<T701774>
Pooh dan Pohon Madu,Madu,Text,,,,Elex Media Komputindo,1999,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Isabel Gaines>,<Cerita Anak>,<T701810>
Pooh Sang Pahlawan,awan,Text,,,,Elex Media Komputindo,1999,,Aku Bisa Membaca Sendiri,823,,Jakarta,823,,,,<Isabel Gaines >,<Cerita Anak>,<T703531>
Pooh Terperangkap,gkap,Text,,,,Elex Media Komputindo,2000,,Seri Bacaan Anak Walt Disney,823,,Jakarta,823,,,,<Isabel Gaines>,<Cerita Anak>,<T701800>
Poor Woufi! (Kasihan Si Woufi!),fi!),Text,,,,Erlangga,2004,,The Adventure of Lola and Woufi,823,,Jakarta,823,,,,<Edith Soonckindt >,<Cerita Anak>,<T701913>
Popcorn Gurih & Manis,anis,Text,,,,Gramedia Pustaka Utama,2009,,For The Popcorn Lovers,641.6,,Jakarta,641.6,,,,<Dapur Kirana >,<Masak-kue>,<T703791>
Poppyseed,seed,Text,,,,Allice Saputra Communications,,,Seri Serendipity,823,,,823,,,,<Stephen Cosgrove>,<Cerita Anak>,<T700122>
"Porky Picasso, Sang Pelukis",ukis,Text,,,,Dian Rakyat,1994,,Bugs Bunny,823,,Jakarta,823,,,,<Tim Penulis                 >,<Cerita Anak>,<T701992>
"Porky Picasso, Sang Pelukis - c2",#VALUE!,Text,,,,Dian Rakyat,1994,,Bugs Bunny,823,,Jakarta,823,,,,<Tim Penulis                  >,<Cerita Anak>,<T701993>
Prajurit Timah Pemberani,rani,Text,,,,Elex Media Komputindo,1988,,Dongeng Klasik HC Anderson,823,,Jakarta,823,,,,<Hans Christian Anderson>,<Cerita Anak>,<T701875>
Pramugari,gari,Text,,,,PT. Tiga Serangkai Pustaka Mandiri,2013,,Seri Mengenal Profesi,,,Solo,,,,,<Rae Sita Patappa>,<Pengetahuan Anak>,<T704922>
Prancis Mengenal Ragam Budaya Dan Geogrfi,grfi,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700893>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c2,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700894>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c3,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700895>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c4,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700896>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c5,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700897>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c6,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700898>
Prancis Mengenal Ragam Budaya Dan Geogrfi  - c7,#VALUE!,Text,,,,Tiga Serangkai,2007,,Perjalanan Wisata,914.4,,Solo,914.4,,,,<Linda Pickwell>,<Pengetahuan Anak>,<T700899>
Prepositions (Preposisi),isi),Text,,,,Tiga Serangkai,2010,,Grammar Ray,422,,Solo,422,,,,<Andrew Carter >,<Aktivitas Anak>,<T704441>
Prience of Dorkness,ness,Text,,,,Kantera,2011,,Diary of a Wimpy Vampire,,,,,,,,<Tim Collins>,<Novel / Fiksi>,<T704793>
Primata,mata,Text,,,,Tira Pustaka,1984,,Pustaka Alam - Life,599,,Jakarta,599,,,,<Sarel Eimerl><Irven DeVore>,<Pengetahuan Dewasa>,<T701763>
Prince Caspian ( Pangeran Caspian ) - c2,#VALUE!,Text,,,,Gramedia Pustaka Utama,2008,,The Chronicles of  Narnia,823,,Jakarta,823,,,,<C. S. Lewis>,<Novel / Fiksi>,<T701312>
Prince Caspian-Pangeran Caspian,pian,Text,,,,Gramedia Pustaka Utama,2006,,Narnia,813,,Jakarta,813,,,,<C. S. Lewis>,<Novel / Fiksi>,<T700573>
Princess Cancerra,erra,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704393>
Princess Capricornie,rnie,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir>< Rae Sita Patappa >,<Cerita Anak>,<T703335>
Princess Capricornie,rnie,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T703698>
Princess Geminia,inia,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704396>
Princess Libracella,ella,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704394>
Princess Scorpia,rpia,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir>< Rae Sita Patappa >,<Cerita Anak>,<T703337>
Princess Scorpia,rpia,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T704395>
Princess Taurussica,sica,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir>< Rae Sita Patappa >,<Cerita Anak>,<T703336>
Princess Taurussica,sica,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir >,<Cerita Anak>,<T703697>
Princess Virgolia,olia,Text,,,,Tiga Serangkai,2010,,Princess Zodiak,813,,Solo,813,,,,<Ali Muakhir>< Rae Sita Patappa >,<Cerita Anak>,<T703334>
